instrument,update_timestamp,price,sma
ONGC,2023-03-08 18:51:00,16.0,
RIL,2023-03-08 18:51:00,15.0,
ONGC,2023-03-08 18:51:00,16.0,
RIL,2023-03-08 18:51:00,16.5,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,16.5,
ONGC,2023-03-08 18:51:00,16.333333333333332,
RIL,2023-03-08 18:51:00,16.5,
TCS,2023-03-08 18:51:00,13.0,
INFY,2023-03-08 18:51:00,16.0,
ONGC,2023-03-08 18:51:00,16.333333333333332,
RIL,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:51:00,13.0,
INFY,2023-03-08 18:51:00,16.0,
ONGC,2023-03-08 18:51:00,16.75,
RIL,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:51:00,15.5,
INFY,2023-03-08 18:51:00,16.0,
ONGC,2023-03-08 18:51:00,16.75,
RIL,2023-03-08 18:51:00,15.5,
TCS,2023-03-08 18:51:00,15.5,
INFY,2023-03-08 18:51:00,16.0,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
TCS,2023-03-08 18:51:00,16.333333333333332,
INFY,2023-03-08 18:51:00,16.0,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.0,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,18.0,
INFY,2023-03-08 18:51:00,16.0,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,13.5,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,18.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,11.5,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,13.5,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,18.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,13.5,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,17.5,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.5,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,17.5,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.5,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,15.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
ONGC,2023-03-08 18:52:00,13.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.0,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,15.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
ONGC,2023-03-08 18:52:00,13.0,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.0,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,14.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
ONGC,2023-03-08 18:52:00,14.5,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,11.833333333333334,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,14.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
ONGC,2023-03-08 18:52:00,15.333333333333334,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.0,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,14.0,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
ONGC,2023-03-08 18:52:00,15.333333333333334,
RIL,2023-03-08 18:51:00,15.5,
RIL,2023-03-08 18:52:00,12.0,
TCS,2023-03-08 18:51:00,16.333333333333332,
TCS,2023-03-08 18:52:00,14.5,
INFY,2023-03-08 18:51:00,16.0,
INFY,2023-03-08 18:52:00,14.0,
ONGC,2023-03-08 18:51:00,17.0,
ONGC,2023-03-08 18:52:00,14.2,
