id,id_sell,instrument,quantity,price,update_timestamp
1000011,1000021,ONGC,3.0,17.0,"2023/03/08, 19:13:47"
1000028,1000002,INFY,4.0,12.0,"2023/03/08, 19:13:50"
1000033,1000031,ONGC,3.0,13.0,"2023/03/08, 19:13:58"
1000044,1000035,ONGC,3.0,18.0,"2023/03/08, 19:13:58"
1000053,1000001,INFY,3.0,13.0,"2023/03/08, 19:14:03"
1000018,1000062,RIL,3.0,19.0,"2023/03/08, 19:14:07"
1000057,1000038,INFY,3.0,13.0,"2023/03/08, 19:14:07"
1000066,1000049,INFY,3.0,18.0,"2023/03/08, 19:14:09"
1000052,1000073,RIL,3.0,11.0,"2023/03/08, 19:14:13"
1000069,1000007,RIL,4.0,19.0,"2023/03/08, 19:14:13"
1000039,1000078,TCS,3.0,16.0,"2023/03/08, 19:14:18"
1000084,1000070,ONGC,3.0,19.0,"2023/03/08, 19:14:18"
1000013,1000089,TCS,3.0,18.0,"2023/03/08, 19:14:26"
1000074,1000100,INFY,4.0,16.0,"2023/03/08, 19:14:26"
1000063,1000107,ONGC,4.0,17.0,"2023/03/08, 19:14:30"
1000101,1000024,RIL,4.0,17.0,"2023/03/08, 19:14:30"
1000108,1000046,ONGC,3.0,15.0,"2023/03/08, 19:14:31"
1000110,1000091,RIL,4.0,11.0,"2023/03/08, 19:14:31"
1000027,1000114,TCS,5.0,16.0,"2023/03/08, 19:14:33"
1000064,1000111,TCS,4.0,14.0,"2023/03/08, 19:14:33"
1000115,1000116,ONGC,3.0,15.0,"2023/03/08, 19:14:35"
1000117,1000113,RIL,4.0,16.0,"2023/03/08, 19:14:35"
1000123,1000124,RIL,2.0,14.0,"2023/03/08, 19:14:40"
1000128,1000095,TCS,3.0,19.0,"2023/03/08, 19:14:40"
1000094,1000132,TCS,3.0,16.0,"2023/03/08, 19:14:42"
1000134,1000042,INFY,5.0,19.0,"2023/03/08, 19:14:44"
1000003,1000141,RIL,4.0,18.0,"2023/03/08, 19:14:49"
1000142,1000145,INFY,4.0,17.0,"2023/03/08, 19:14:49"
1000126,1000154,RIL,3.0,12.0,"2023/03/08, 19:14:54"
1000147,1000043,INFY,3.0,14.0,"2023/03/08, 19:14:54"
1000068,1000155,ONGC,2.0,16.0,"2023/03/08, 19:14:54"
1000156,1000104,ONGC,3.0,11.0,"2023/03/08, 19:14:55"
1000157,1000026,INFY,4.0,12.0,"2023/03/08, 19:14:55"
1000160,1000065,INFY,3.0,18.0,"2023/03/08, 19:14:57"
1000061,1000167,INFY,4.0,11.0,"2023/03/08, 19:15:00"
1000163,1000040,TCS,2.0,12.0,"2023/03/08, 19:15:00"
1000171,1000152,INFY,3.0,18.0,"2023/03/08, 19:15:04"
1000175,1000119,TCS,5.0,17.0,"2023/03/08, 19:15:04"
1000017,1000179,INFY,3.0,20.0,"2023/03/08, 19:15:08"
1000129,1000182,ONGC,2.0,18.0,"2023/03/08, 19:15:08"
1000087,1000186,ONGC,5.0,20.0,"2023/03/08, 19:15:10"
1000183,1000081,ONGC,3.0,19.0,"2023/03/08, 19:15:10"
1000187,1000047,ONGC,4.0,20.0,"2023/03/08, 19:15:11"
1000189,1000075,ONGC,4.0,12.0,"2023/03/08, 19:15:11"
1000103,1000208,TCS,2.0,19.0,"2023/03/08, 19:15:21"
1000207,1000118,TCS,4.0,15.0,"2023/03/08, 19:15:21"
1000209,1000086,ONGC,4.0,13.0,"2023/03/08, 19:15:22"
1000210,1000127,ONGC,4.0,16.0,"2023/03/08, 19:15:22"
1000214,1000056,ONGC,3.0,13.0,"2023/03/08, 19:15:24"
1000120,1000215,RIL,4.0,15.0,"2023/03/08, 19:15:25"
1000217,1000083,TCS,3.0,20.0,"2023/03/08, 19:15:25"
1000190,1000218,INFY,4.0,15.0,"2023/03/08, 19:15:26"
1000045,1000219,RIL,3.0,18.0,"2023/03/08, 19:15:26"
1000223,1000041,ONGC,4.0,14.0,"2023/03/08, 19:15:30"
1000226,1000159,INFY,4.0,17.0,"2023/03/08, 19:15:30"
1000106,1000229,ONGC,4.0,10.0,"2023/03/08, 19:15:31"
1000122,1000234,TCS,3.0,16.0,"2023/03/08, 19:15:34"
1000231,1000228,TCS,3.0,11.0,"2023/03/08, 19:15:34"
1000022,1000239,INFY,3.0,19.0,"2023/03/08, 19:15:36"
1000138,1000235,INFY,3.0,11.0,"2023/03/08, 19:15:36"
1000244,1000172,RIL,2.0,16.0,"2023/03/08, 19:15:39"
1000077,1000246,TCS,3.0,12.0,"2023/03/08, 19:15:48"
1000181,1000262,INFY,5.0,18.0,"2023/03/08, 19:15:48"
1000265,1000162,ONGC,3.0,18.0,"2023/03/08, 19:15:49"
1000273,1000020,ONGC,2.0,11.0,"2023/03/08, 19:15:55"
1000275,1000137,TCS,4.0,13.0,"2023/03/08, 19:15:55"
1000252,1000281,INFY,4.0,17.0,"2023/03/08, 19:15:58"
1000278,1000144,ONGC,3.0,10.0,"2023/03/08, 19:15:58"
1000023,1000288,ONGC,3.0,17.0,"2023/03/08, 19:16:01"
1000282,1000238,TCS,4.0,20.0,"2023/03/08, 19:16:01"
1000198,1000293,RIL,4.0,19.0,"2023/03/08, 19:16:07"
1000299,1000165,INFY,4.0,14.0,"2023/03/08, 19:16:07"
1000277,1000301,ONGC,4.0,14.0,"2023/03/08, 19:16:08"
1000300,1000298,ONGC,4.0,19.0,"2023/03/08, 19:16:08"
1000088,1000305,RIL,5.0,12.0,"2023/03/08, 19:16:10"
1000302,1000161,ONGC,3.0,13.0,"2023/03/08, 19:16:10"
1000032,1000306,TCS,4.0,17.0,"2023/03/08, 19:16:10"
1000143,1000309,RIL,3.0,18.0,"2023/03/08, 19:16:12"
1000303,1000307,RIL,2.0,19.0,"2023/03/08, 19:16:12"
1000034,1000319,RIL,3.0,19.0,"2023/03/08, 19:16:17"
1000092,1000314,INFY,2.0,20.0,"2023/03/08, 19:16:17"
1000211,1000323,RIL,4.0,13.0,"2023/03/08, 19:16:19"
1000320,1000256,ONGC,3.0,18.0,"2023/03/08, 19:16:19"
1000326,1000255,ONGC,3.0,19.0,"2023/03/08, 19:16:22"
1000330,1000014,INFY,3.0,16.0,"2023/03/08, 19:16:22"
1000195,1000336,INFY,4.0,12.0,"2023/03/08, 19:16:25"
1000280,1000331,RIL,3.0,16.0,"2023/03/08, 19:16:25"
1000339,1000109,RIL,3.0,11.0,"2023/03/08, 19:16:27"
1000340,1000112,TCS,3.0,18.0,"2023/03/08, 19:16:28"
1000216,1000346,INFY,4.0,15.0,"2023/03/08, 19:16:30"
1000332,1000341,ONGC,3.0,19.0,"2023/03/08, 19:16:30"
1000090,1000351,INFY,5.0,15.0,"2023/03/08, 19:16:33"
1000349,1000290,TCS,5.0,18.0,"2023/03/08, 19:16:33"
1000133,1000356,INFY,3.0,12.0,"2023/03/08, 19:16:38"
1000361,1000196,ONGC,4.0,20.0,"2023/03/08, 19:16:38"
1000247,1000362,TCS,4.0,16.0,"2023/03/08, 19:16:41"
1000367,1000130,TCS,4.0,18.0,"2023/03/08, 19:16:41"
1000373,1000080,INFY,4.0,18.0,"2023/03/08, 19:16:44"
1000374,1000329,INFY,3.0,19.0,"2023/03/08, 19:16:48"
1000381,1000243,TCS,5.0,11.0,"2023/03/08, 19:16:48"
1000386,1000194,ONGC,4.0,11.0,"2023/03/08, 19:16:51"
1000264,1000387,RIL,4.0,16.0,"2023/03/08, 19:16:51"
1000388,1000191,TCS,2.0,15.0,"2023/03/08, 19:16:53"
1000391,1000321,RIL,4.0,15.0,"2023/03/08, 19:16:53"
1000392,1000025,TCS,3.0,15.0,"2023/03/08, 19:16:54"
1000393,1000059,RIL,3.0,15.0,"2023/03/08, 19:16:54"
1000184,1000395,RIL,5.0,11.0,"2023/03/08, 19:16:55"
1000365,1000397,TCS,5.0,18.0,"2023/03/08, 19:16:56"
1000396,1000324,RIL,4.0,19.0,"2023/03/08, 19:16:56"
1000390,1000398,ONGC,2.0,13.0,"2023/03/08, 19:16:58"
1000401,1000237,RIL,4.0,17.0,"2023/03/08, 19:16:58"
1000402,1000177,RIL,3.0,11.0,"2023/03/08, 19:16:59"
1000016,1000403,INFY,5.0,14.0,"2023/03/08, 19:17:00"
1000227,1000404,ONGC,4.0,10.0,"2023/03/08, 19:17:00"
1000205,1000414,TCS,5.0,16.0,"2023/03/08, 19:17:05"
1000406,1000380,INFY,3.0,14.0,"2023/03/08, 19:17:05"
1000415,1000158,INFY,4.0,20.0,"2023/03/08, 19:17:06"
1000416,1000148,ONGC,2.0,15.0,"2023/03/08, 19:17:06"
1000180,1000417,ONGC,4.0,17.0,"2023/03/08, 19:17:06"
1000422,1000071,INFY,2.0,13.0,"2023/03/08, 19:17:10"
1000424,1000338,RIL,3.0,15.0,"2023/03/08, 19:17:10"
1000425,1000359,TCS,4.0,13.0,"2023/03/08, 19:17:13"
1000430,1000304,INFY,4.0,18.0,"2023/03/08, 19:17:13"
1000432,1000375,ONGC,4.0,19.0,"2023/03/08, 19:17:14"
1000433,1000240,RIL,3.0,20.0,"2023/03/08, 19:17:15"
1000435,1000010,RIL,2.0,17.0,"2023/03/08, 19:17:15"
1000030,1000437,TCS,4.0,11.0,"2023/03/08, 19:17:16"
1000384,1000447,RIL,4.0,13.0,"2023/03/08, 19:17:21"
1000440,1000409,INFY,5.0,13.0,"2023/03/08, 19:17:21"
1000150,1000450,ONGC,5.0,11.0,"2023/03/08, 19:17:23"
1000452,1000268,ONGC,5.0,16.0,"2023/03/08, 19:17:24"
1000098,1000455,RIL,4.0,14.0,"2023/03/08, 19:17:26"
1000453,1000261,TCS,5.0,15.0,"2023/03/08, 19:17:26"
1000458,1000411,RIL,3.0,15.0,"2023/03/08, 19:17:27"
1000460,1000429,ONGC,4.0,19.0,"2023/03/08, 19:17:29"
1000461,1000146,ONGC,2.0,17.0,"2023/03/08, 19:17:29"
1000463,1000192,RIL,3.0,11.0,"2023/03/08, 19:17:30"
1000176,1000466,INFY,3.0,13.0,"2023/03/08, 19:17:31"
1000225,1000464,ONGC,4.0,17.0,"2023/03/08, 19:17:31"
1000004,1000475,ONGC,5.0,12.0,"2023/03/08, 19:17:36"
1000469,1000199,ONGC,4.0,16.0,"2023/03/08, 19:17:36"
1000284,1000479,INFY,4.0,15.0,"2023/03/08, 19:17:38"
1000480,1000257,ONGC,5.0,18.0,"2023/03/08, 19:17:38"
1000481,1000269,TCS,2.0,12.0,"2023/03/08, 19:17:39"
1000322,1000484,ONGC,4.0,13.0,"2023/03/08, 19:17:42"
1000491,1000426,RIL,3.0,15.0,"2023/03/08, 19:17:44"
1000492,1000188,TCS,2.0,13.0,"2023/03/08, 19:17:44"
1000413,1000500,TCS,4.0,11.0,"2023/03/08, 19:17:49"
1000501,1000072,INFY,2.0,15.0,"2023/03/08, 19:17:49"
1000060,1000505,ONGC,2.0,12.0,"2023/03/08, 19:17:51"
1000312,1000506,INFY,3.0,18.0,"2023/03/08, 19:17:51"
1000372,1000507,RIL,3.0,16.0,"2023/03/08, 19:17:52"
1000286,1000508,RIL,4.0,16.0,"2023/03/08, 19:17:52"
1000343,1000510,ONGC,4.0,14.0,"2023/03/08, 19:17:53"
1000511,1000311,INFY,2.0,15.0,"2023/03/08, 19:17:54"
1000170,1000513,RIL,5.0,12.0,"2023/03/08, 19:17:56"
1000515,1000353,RIL,4.0,10.0,"2023/03/08, 19:17:56"
1000317,1000518,TCS,3.0,16.0,"2023/03/08, 19:18:00"
1000524,1000105,ONGC,3.0,16.0,"2023/03/08, 19:18:00"
1000029,1000528,RIL,5.0,13.0,"2023/03/08, 19:18:02"
1000530,1000005,ONGC,3.0,14.0,"2023/03/08, 19:18:03"
1000531,1000296,RIL,2.0,13.0,"2023/03/08, 19:18:05"
1000534,1000054,ONGC,5.0,14.0,"2023/03/08, 19:18:05"
1000153,1000535,ONGC,2.0,18.0,"2023/03/08, 19:18:06"
1000051,1000541,ONGC,3.0,17.0,"2023/03/08, 19:18:09"
1000543,1000509,ONGC,2.0,20.0,"2023/03/08, 19:18:11"
1000545,1000467,ONGC,4.0,17.0,"2023/03/08, 19:18:11"
1000549,1000364,ONGC,5.0,16.0,"2023/03/08, 19:18:14"
1000551,1000139,RIL,2.0,14.0,"2023/03/08, 19:18:14"
1000553,1000439,ONGC,2.0,13.0,"2023/03/08, 19:18:15"
1000445,1000564,INFY,4.0,14.0,"2023/03/08, 19:18:20"
1000494,1000558,RIL,4.0,15.0,"2023/03/08, 19:18:20"
1000037,1000569,TCS,2.0,16.0,"2023/03/08, 19:18:23"
1000550,1000570,INFY,3.0,18.0,"2023/03/08, 19:18:25"
1000009,1000573,ONGC,5.0,13.0,"2023/03/08, 19:18:26"
1000099,1000575,INFY,4.0,11.0,"2023/03/08, 19:18:26"
1000174,1000581,TCS,4.0,17.0,"2023/03/08, 19:18:29"
1000360,1000578,ONGC,3.0,17.0,"2023/03/08, 19:18:29"
1000328,1000583,TCS,4.0,12.0,"2023/03/08, 19:18:30"
1000488,1000587,ONGC,4.0,13.0,"2023/03/08, 19:18:32"
1000291,1000589,INFY,2.0,11.0,"2023/03/08, 19:18:34"
1000591,1000008,TCS,3.0,13.0,"2023/03/08, 19:18:34"
1000592,1000082,INFY,5.0,19.0,"2023/03/08, 19:18:35"
1000394,1000593,ONGC,3.0,15.0,"2023/03/08, 19:18:37"
1000566,1000597,TCS,5.0,10.0,"2023/03/08, 19:18:37"
1000598,1000076,RIL,5.0,17.0,"2023/03/08, 19:18:38"
1000283,1000600,INFY,4.0,11.0,"2023/03/08, 19:18:39"
1000599,1000559,INFY,3.0,11.0,"2023/03/08, 19:18:39"
1000611,1000608,INFY,2.0,11.0,"2023/03/08, 19:18:45"
1000613,1000093,INFY,2.0,12.0,"2023/03/08, 19:18:45"
1000048,1000617,RIL,4.0,12.0,"2023/03/08, 19:18:47"
1000355,1000618,INFY,3.0,16.0,"2023/03/08, 19:18:48"
1000621,1000382,INFY,3.0,12.0,"2023/03/08, 19:18:49"
1000178,1000624,RIL,2.0,18.0,"2023/03/08, 19:18:51"
1000623,1000202,TCS,5.0,17.0,"2023/03/08, 19:18:51"
1000626,1000533,RIL,3.0,18.0,"2023/03/08, 19:18:52"
1000627,1000586,INFY,3.0,19.0,"2023/03/08, 19:18:52"
1000407,1000629,RIL,3.0,12.0,"2023/03/08, 19:18:53"
1000263,1000630,TCS,3.0,10.0,"2023/03/08, 19:18:54"
1000632,1000140,RIL,2.0,17.0,"2023/03/08, 19:18:55"
1000633,1000249,INFY,5.0,17.0,"2023/03/08, 19:18:55"
1000634,1000271,ONGC,4.0,11.0,"2023/03/08, 19:18:56"
