id,id_sell,instrument,quantity,price,update_timestamp
1000001,1000007,RIL,4.0,16.0,"2023/03/08, 17:17:11"
1000011,1000015,INFY,3.0,18.0,"2023/03/08, 17:17:11"
1000021,1000043,ONGC,4.0,19.0,"2023/03/08, 17:17:33"
1000049,1000057,RIL,3.0,19.0,"2023/03/08, 17:17:33"
1000058,1000030,INFY,4.0,19.0,"2023/03/08, 17:17:46"
1000083,1000016,ONGC,5.0,11.0,"2023/03/08, 17:17:46"
1000084,1000002,RIL,4.0,19.0,"2023/03/08, 17:17:46"
1000097,1000051,RIL,4.0,17.0,"2023/03/08, 17:17:54"
1000099,1000059,RIL,3.0,19.0,"2023/03/08, 17:17:54"
1000033,1000104,TCS,3.0,13.0,"2023/03/08, 17:18:00"
1000082,1000112,INFY,3.0,18.0,"2023/03/08, 17:18:00"
1000012,1000113,TCS,4.0,19.0,"2023/03/08, 17:18:04"
1000091,1000119,ONGC,4.0,18.0,"2023/03/08, 17:18:04"
1000034,1000128,TCS,2.0,10.0,"2023/03/08, 17:18:08"
1000041,1000122,RIL,3.0,15.0,"2023/03/08, 17:18:08"
1000102,1000130,ONGC,4.0,18.0,"2023/03/08, 17:18:10"
1000132,1000048,TCS,4.0,13.0,"2023/03/08, 17:18:10"
1000096,1000135,TCS,5.0,17.0,"2023/03/08, 17:18:12"
1000133,1000068,INFY,3.0,12.0,"2023/03/08, 17:18:12"
1000136,1000014,RIL,4.0,18.0,"2023/03/08, 17:18:12"
1000114,1000138,INFY,3.0,16.0,"2023/03/08, 17:18:13"
1000137,1000056,RIL,2.0,13.0,"2023/03/08, 17:18:13"
1000025,1000139,INFY,4.0,10.0,"2023/03/08, 17:18:16"
1000143,1000079,INFY,4.0,13.0,"2023/03/08, 17:18:16"
1000144,1000140,RIL,3.0,19.0,"2023/03/08, 17:18:17"
1000145,1000072,TCS,3.0,18.0,"2023/03/08, 17:18:17"
1000149,1000055,RIL,3.0,18.0,"2023/03/08, 17:18:19"
1000094,1000153,TCS,3.0,15.0,"2023/03/08, 17:18:21"
1000154,1000074,RIL,4.0,19.0,"2023/03/08, 17:18:21"
1000028,1000160,ONGC,5.0,15.0,"2023/03/08, 17:18:24"
1000158,1000129,RIL,4.0,15.0,"2023/03/08, 17:18:24"
1000161,1000008,INFY,2.0,18.0,"2023/03/08, 17:18:25"
1000166,1000111,RIL,3.0,12.0,"2023/03/08, 17:18:28"
1000167,1000044,ONGC,2.0,19.0,"2023/03/08, 17:18:28"
1000026,1000171,RIL,2.0,16.0,"2023/03/08, 17:18:31"
1000172,1000141,INFY,5.0,13.0,"2023/03/08, 17:18:31"
1000024,1000184,INFY,4.0,12.0,"2023/03/08, 17:18:37"
1000085,1000187,TCS,3.0,11.0,"2023/03/08, 17:18:38"
1000073,1000188,ONGC,2.0,12.0,"2023/03/08, 17:18:39"
1000146,1000189,ONGC,4.0,10.0,"2023/03/08, 17:18:41"
1000192,1000050,TCS,3.0,19.0,"2023/03/08, 17:18:41"
1000023,1000013,ONGC,3.0,13.0,"2023/03/08, 17:23:02"
1000029,1000026,RIL,3.0,15.0,"2023/03/08, 17:23:02"
1000019,1000036,TCS,2.0,16.0,"2023/03/08, 17:23:06"
1000022,1000030,RIL,5.0,13.0,"2023/03/08, 17:23:06"
1000042,1000064,TCS,4.0,14.0,"2023/03/08, 17:23:20"
1000044,1000037,INFY,5.0,12.0,"2023/03/08, 17:23:20"
1000006,1000075,ONGC,3.0,10.0,"2023/03/08, 17:23:26"
1000071,1000002,TCS,4.0,11.0,"2023/03/08, 17:23:26"
1000012,1000080,TCS,4.0,17.0,"2023/03/08, 17:23:32"
1000054,1000088,TCS,3.0,17.0,"2023/03/08, 17:23:32"
1000053,1000089,ONGC,4.0,11.0,"2023/03/08, 17:23:36"
1000061,1000096,ONGC,3.0,10.0,"2023/03/08, 17:23:36"
1000046,1000104,INFY,3.0,16.0,"2023/03/08, 17:23:41"
1000106,1000078,INFY,2.0,13.0,"2023/03/08, 17:23:41"
1000057,1000109,INFY,2.0,11.0,"2023/03/08, 17:23:45"
1000084,1000113,ONGC,3.0,11.0,"2023/03/08, 17:23:45"
1000118,1000097,ONGC,4.0,11.0,"2023/03/08, 17:23:51"
1000126,1000081,INFY,3.0,11.0,"2023/03/08, 17:23:51"
1000110,1000131,TCS,3.0,16.0,"2023/03/08, 17:23:54"
1000129,1000063,INFY,2.0,12.0,"2023/03/08, 17:23:54"
1000066,1000139,ONGC,3.0,17.0,"2023/03/08, 17:23:58"
1000133,1000090,TCS,2.0,12.0,"2023/03/08, 17:23:58"
1000119,1000145,RIL,4.0,17.0,"2023/03/08, 17:24:01"
1000144,1000082,TCS,4.0,18.0,"2023/03/08, 17:24:01"
1000040,1000153,ONGC,4.0,12.0,"2023/03/08, 17:24:05"
1000149,1000076,RIL,3.0,15.0,"2023/03/08, 17:24:05"
1000003,1000165,ONGC,4.0,19.0,"2023/03/08, 17:24:11"
1000154,1000148,ONGC,2.0,19.0,"2023/03/08, 17:24:11"
1000169,1000162,TCS,2.0,18.0,"2023/03/08, 17:24:15"
1000173,1000166,RIL,4.0,15.0,"2023/03/08, 17:24:15"
1000167,1000174,RIL,4.0,17.0,"2023/03/08, 17:24:17"
1000176,1000142,RIL,4.0,14.0,"2023/03/08, 17:24:17"
1000079,1000178,ONGC,4.0,14.0,"2023/03/08, 17:24:19"
1000181,1000010,ONGC,2.0,18.0,"2023/03/08, 17:24:19"
1000184,1000050,TCS,4.0,13.0,"2023/03/08, 17:24:21"
1000127,1000185,ONGC,4.0,16.0,"2023/03/08, 17:24:23"
1000188,1000125,INFY,3.0,17.0,"2023/03/08, 17:24:23"
1000086,1000189,TCS,4.0,11.0,"2023/03/08, 17:24:25"
1000191,1000192,ONGC,4.0,12.0,"2023/03/08, 17:24:25"
1000194,1000190,INFY,4.0,20.0,"2023/03/08, 17:24:27"
1000197,1000122,RIL,4.0,19.0,"2023/03/08, 17:24:27"
